infinitive,past_simple,past_participle,level,category,description
be,was/were,been,Beginner,Daily Life,"The verb 'to be' is the most fundamental and irregular verb in the English language. It serves as a copula, linking a subject to an adjective or noun, and as an auxiliary verb for continuous tenses and the passive voice. Its forms vary significantly across tenses (am, is, are, was, were). Mastery of 'be' is the first step in learning English. It is used to describe existence, identity, and characteristics."
become,became,become,Beginner,Daily Life,"'Become' indicates a process of change or development. It is used when a subject transforms into something else or acquires a new state of being. It is a linking verb that connects the subject to a complement describing the new state. Common in both formal and informal contexts. Essential for describing personal growth or physical changes."
begin,began,begun,Beginner,Action & Impact,"'Begin' marks the start of an action, process, or state. It is a synonym for 'start' but is slightly more formal. It can be followed by an infinitive or a gerund (e.g., 'begin to eat' or 'begin eating'). This verb is crucial for narrating events in chronological order. It implies the initial step of a longer duration."
break,broke,broken,Intermediate,Action & Impact,"'Break' generally means to separate into pieces as a result of a blow, shock, or strain. It can be used physically (breaking a glass) or metaphorically (breaking a promise or a law). It also functions as a noun indicating a pause in work. The past participle 'broken' is frequently used as an adjective. It suggests a sudden and often destructive change."
bring,brought,brought,Beginner,Movement,"'Bring' involves carrying or conveying something or someone to the place where the speaker is or will be. It implies movement towards the speaker, contrasting with 'take'. It is used in physical contexts (bringing a gift) and abstract contexts (bringing joy). A fundamental verb for social interactions and logistics."
buy,bought,bought,Beginner,Action & Impact,"To 'buy' is to obtain something in exchange for payment. It is the core verb of commerce and daily transactions. It is the opposite of 'sell'. While 'purchase' is a more formal synonym, 'buy' is the standard term in everyday conversation. It implies a transfer of ownership."
choose,chose,chosen,Intermediate,Communication,"'Choose' means to pick out or select from a number of alternatives. It involves decision-making and preference. The choice can be based on logic, emotion, or random selection. It is a key verb for expressing autonomy and will. The past participle 'chosen' often implies a special status."
come,came,come,Beginner,Movement,"'Come' describes movement towards the speaker or a specific location. It is one of the most frequently used verbs of motion. It is used in invitations, commands, and descriptions of arrival. It creates a sense of proximity and approach. It forms many phrasal verbs like 'come in', 'come over', and 'come back'."
do,did,done,Beginner,Action & Impact,"'Do' is a versatile verb used to describe the performance of an action or task. It functions as a main verb (doing homework) and an essential auxiliary verb for forming questions and negatives in the simple present and past tenses. It is often used when the specific action is not named. It emphasizes the execution of an act."
drink,drank,drunk,Beginner,Daily Life,"To 'drink' is to swallow a liquid. It is a biological necessity and a social activity. The verb can refer to consuming water, soft drinks, or alcohol depending on the context. Usage of the forms 'drank' (past) and 'drunk' (participle) is a common stumbling block for learners. It is essential for describing daily habits."
drive,drove,driven,Intermediate,Movement,"'Drive' primarily means to operate and control the direction and speed of a motor vehicle. It can also mean to propel or urge something forward with force. Metaphorically, it refers to motivation (what drives you?). It implies control, power, and movement towards a destination."
eat,ate,eaten,Beginner,Daily Life,"To 'eat' is to put food into the mouth, chew it, and swallow it. It is a primary survival activity and a major social ritual. The verb applies to all forms of solid food consumption. It is one of the first verbs learned by children. Metaphorically, it can mean to corrode or use up resources."
fall,fell,fallen,Intermediate,Movement,"'Fall' describes a rapid descent under the force of gravity, usually accidentally. It implies a loss of balance or a drop from a higher to a lower position. It is used physically (falling down stairs) and abstractly (falling in love, falling asleep). It suggests a lack of control over the movement."
feel,felt,felt,Beginner,Communication,"'Feel' relates to experiencing an emotion or a physical sensation. It connects the subject to their internal state or tactile environment. It can describe touching something (texture) or an emotional state (sadness, happiness). It is subjective and central to expressing human experience."
find,found,found,Beginner,Action & Impact,"To 'find' is to discover something either by chance or after a search. It implies the successful end of looking for something. It can also mean to perceive or judge something to be the case (e.g., 'I find this hard'). It represents discovery, recovery, and realization."
fly,flew,flown,Intermediate,Movement,"'Fly' means to move through the air using wings or an aircraft. It represents freedom, speed, and travel. It can apply to birds, planes, or even time (time flies). It implies overcoming gravity and moving rapidly. The irregularity of its forms makes it a key verb to master."
forget,forgot,forgotten,Intermediate,Communication,"To 'forget' is to fail to remember something. It can refer to a loss of memory or a failure to perform a duty (forgetting to lock the door). It is the opposite of 'remember'. It is a common human experience often associated with regret or negligence. It implies a lapse in mental retention."
get,got,got/gotten,Beginner,Action & Impact,"'Get' is arguably the most versatile informal verb in English. It can mean to receive, obtain, become, arrive, or understand. Its meaning depends entirely on context. It replaces more formal verbs like 'acquire' or 'comprehend' in daily speech. It is dynamic and ubiquitous in conversation."
give,gave,given,Beginner,Action & Impact,"To 'give' is to freely transfer the possession of something to someone else. It is the fundamental verb of generosity and exchange. It can apply to physical objects, information, or abstract concepts like advice or love. It implies a direction from the subject to a recipient."
go,went,gone,Beginner,Movement,"'Go' describes movement from one place to another. It is the opposite of 'come'. It is used for departure, travel, and proceeding. The past form 'went' is historically from a different verb (wend), making it highly irregular. It is essential for discussing future plans ('going to') and past travels."
have,had,had,Beginner,Daily Life,"'Have' indicates possession, relationship, or obligation. It is also the primary auxiliary verb for perfect tenses (have done, had seen). It describes what one owns, experiences (have a good time), or must do (have to). It is a cornerstone of English grammar and usage."
hear,heard,heard,Beginner,Communication,"To 'hear' is to perceive sound through the ears. Unlike 'listen', it is often a passive or involuntary action. It connects the subject to the auditory world. It can also mean to receive news or information. It is a primary sensory verb essential for communication."
know,knew,known,Beginner,Communication,"To 'know' means to possess information, understanding, or skill through experience or education. It can also mean to be familiar with a person or place. It describes a mental state of certainty. It is a stative verb, rarely used in continuous tenses. It distinguishes fact from belief."
leave,left,left,Beginner,Movement,"'Leave' means to go away from a place or person. It indicates departure and separation. It can also mean to let something remain in a specific state or place. It is used for ending relationships, quitting jobs, or simply exiting a room. It implies a transition from presence to absence."
make,made,made,Beginner,Action & Impact,"'Make' means to form something by putting parts together or combining substances; to create or produce. It implies construction, causation, or forcing something to happen. Unlike 'do', which focuses on the action, 'make' focuses on the result or product. It is a verb of creation."
meet,met,met,Beginner,Communication,"To 'meet' is to come into the presence or company of someone. It can happen by arrangement or by chance. It marks the beginning of a social interaction or relationship. It can also refer to fulfilling a requirement (meeting a deadline). It connects people and ideas."
pay,paid,paid,Beginner,Action & Impact,"To 'pay' is to give money for goods, services, or debts. It is central to financial transactions. It can also be used metaphorically, such as paying attention or paying a compliment. It implies an exchange of value and the settlement of an obligation."
put,put,put,Beginner,Action & Impact,"'Put' means to move something into a specific place or position. It is a generic verb of placement. It is highly irregular because all three forms (infinitive, past, participle) are identical. It forms many phrasal verbs like 'put on', 'put off', and 'put up'. It is simple yet essential."
read,read,read,Beginner,Communication,"To 'read' is to look at and comprehend the meaning of written or printed matter. While the spelling remains 'read' for all forms, the pronunciation changes (past tense rhymes with 'red'). It is the verb of literacy and information consumption. It can be done silently or aloud."
run,ran,run,Beginner,Movement,"'Run' means to move at a speed faster than a walk, never having both or all feet on the ground at the same time. It implies speed, urgency, or exercise. It can also describe the operation of machines (the engine runs) or the flow of liquids. It is a dynamic verb of energy."
say,said,said,Beginner,Communication,"To 'say' is to utter words so as to convey information, an opinion, or a feeling. It focuses on the words produced rather than the recipient (unlike 'tell'). It is used for direct and indirect speech. It is one of the most common verbs for reporting conversation."
see,saw,seen,Beginner,Communication,"To 'see' is to perceive with the eyes; to discern visually. It is the primary verb of vision. It can also mean to understand ('I see what you mean') or to meet someone socially. It is a passive sensory experience, unlike 'watch' or 'look'. It connects us to the visual world."
sell,sold,sold,Beginner,Action & Impact,"To 'sell' is to give or hand over something in exchange for money. It is the counterpart to 'buy'. It implies persuasion, commerce, and transaction. It can apply to goods, services, or even ideas. It is a fundamental concept in economics and daily business."
send,sent,sent,Beginner,Communication,"'Send' means to cause to go or be taken to a particular destination. It applies to letters, emails, parcels, or signals. It implies a distance between the sender and the receiver. It is the primary verb for transmitting information or objects without moving oneself."
sit,sat,sat,Beginner,Daily Life,"To 'sit' is to adopt or be in a position in which one's weight is supported by one's buttocks rather than one's feet and one's back is upright. It is a static posture verb. It is used for rest, waiting, or formal gatherings. It contrasts with 'stand' and 'lie'."
sleep,slept,slept,Beginner,Daily Life,"To 'sleep' is to be in a state of rest where consciousness is suspended and the body functions slow down. It is a biological necessity. The verb covers the duration of this state. It is often associated with health, dreams, and recovery. It is a regular part of the daily cycle."
speak,spoke,spoken,Intermediate,Communication,"To 'speak' is to say something in order to convey information or to express a feeling. It implies the ability to use language or the act of giving a formal address. It is more formal than 'talk' and focuses on the faculty of speech or the language used."
stand,stood,stood,Beginner,Daily Life,"To 'stand' is to be in an upright position on the feet. It implies stability, resistance, or waiting. It can be physical or metaphorical (standing for a cause). It is often used in commands and descriptions of location. It contrasts with 'sit' and 'lie'."
swim,swam,swum,Intermediate,Movement,"To 'swim' is to propel the body through water using the limbs. It is a sport, a survival skill, and a recreational activity. The vowel change (i-a-u) makes it a classic example of an irregular verb. It implies interaction with a liquid environment."
take,took,taken,Beginner,Action & Impact,"'Take' means to lay hold of something with one's hands; to reach for and hold. It implies removing something from a place or accepting something offered. It is extremely versatile, forming idioms like 'take a break', 'take care', or 'take place'. It contrasts with 'give'."
teach,taught,taught,Intermediate,Communication,"To 'teach' is to impart knowledge to or instruct someone as to how to do something. It involves a transfer of skill or information from a teacher to a student. It implies authority and guidance. It is the counterpart to 'learn'."
tell,told,told,Beginner,Communication,"To 'tell' is to communicate information, facts, or news to someone in spoken or written words. Unlike 'say', it usually requires a direct object (the person being told). It implies narration, instruction, or revealing a secret. It focuses on the message delivery."
think,thought,thought,Beginner,Communication,"To 'think' is to have a particular opinion, belief, or idea about someone or something. It describes mental processes, reasoning, and imagination. It is the primary verb of cognition. It can refer to active processing ('I am thinking') or a state of belief ('I think so')."
understand,understood,understood,Intermediate,Communication,"To 'understand' is to perceive the intended meaning of words, a language, or a speaker. It implies cognitive grasp and empathy. It is the goal of communication. It is formed by combining 'under' and 'stand', though the meaning is abstract."
wear,wore,worn,Beginner,Daily Life,"To 'wear' is to have something on one's body as clothing, decoration, or protection. It implies a continuous state of being dressed in something. It can also refer to the damage caused by use (wear and tear). It is essential for describing appearance."
write,wrote,written,Beginner,Communication,"To 'write' is to mark letters, words, or other symbols on a surface, typically paper or a screen, with a pen, pencil, or keyboard. It is the primary verb of literacy and recording information. It allows communication across time and space."
abide,abode/abided,abode/abided,Expert,Expert,"To 'abide' means to accept or act in accordance with a rule, decision, or recommendation. Historically, it meant to dwell or remain. It is a formal verb, often found in legal or literary contexts (e.g., 'abide by the law'). It implies endurance or tolerance."
beseech,besought,besought,Expert,Expert,"To 'beseech' is to ask someone urgently and fervently to do something; to implore. It is a highly formal and archaic verb used in literature or dramatic contexts. It implies a sense of desperation and humility in the request. It is a strong synonym for 'beg'."
fling,flung,flung,Expert,Action & Impact,"To 'fling' is to throw or hurl something truthfully or violently. It implies a lack of care or a burst of emotion (anger, joy). It is more forceful than 'throw'. It suggests a sudden, energetic movement of the arm. It can be used metaphorically (flinging insults)."
slink,slunk,slunk,Expert,Movement,"To 'slink' is to move smoothly and quietly with gliding steps, in a stealthy or sensuous manner. It often implies guilt, fear, or a desire to hide. It is associated with the movement of predators or someone trying to escape notice. It is a descriptive verb of motion."
bend,bent,bent,Beginner,Action & Impact,"To 'bend' means to shape or force something straight into a curve or angle. It implies flexibility or submission. Physically, it refers to the body or objects (bending a spoon). Metaphorically, it can mean adapting rules or submitting to authority. It represents a change in form without breaking."
bet,bet,bet,Intermediate,Action & Impact,"To 'bet' is to risk something, usually money, against someone else's on the basis of the outcome of a future event, such as a race or game. It implies gambling, prediction, and risk-taking. It is also used informally to express certainty ('I bet you are right'). It connects to concepts of chance and probability."
bid,bid/bade,bid/bidden,Expert,Communication,"To 'bid' has two main meanings: to offer a certain price for something (at an auction) or to utter a greeting or command. The forms vary by meaning (bid-bid-bid for money; bid-bade-bidden for commands). It is a formal verb often used in commerce or archaic storytelling. It implies an attempt to secure something."
bind,bound,bound,Intermediate,Action & Impact,"To 'bind' is to tie or fasten something tightly. It implies restriction, connection, or obligation (legally binding). It can refer to physical ropes or abstract promises. Bookbinding is a specific craft associated with it. It suggests creating a strong, often unbreakable, link between elements."
bite,bit,bitten,Beginner,Action & Impact,"To 'bite' is to use the teeth to cut into or through something. It is a primal action used for eating or defense. It can also imply a sharp, stinging sensation (the cold bites). Idiomatically, 'biting off more than you can chew' refers to taking on too much. It is an aggressive or consumptive action."
bleed,bled,bled,Intermediate,Daily Life,"To 'bleed' is to lose blood from the body as a result of injury or illness. It signifies vulnerability, pain, or sacrifice. Metaphorically, it can mean losing resources or money ('the company is bleeding cash'). It is a visceral verb often associated with medical or dramatic contexts."
blow,blew,blown,Beginner,Action & Impact,"To 'blow' is to create a current of air. It applies to the wind, human breath, or mechanical devices. It can mean to explode (blow up) or to miss an opportunity (blow it). It represents the movement of air and the force it carries. It is essential for describing weather and physical exertion."
breed,bred,bred,Expert,Daily Life,"To 'breed' is to mate and produce offspring (animals). It also means to rear or train someone in a specific way ('born and bred'). Metaphorically, it suggests that a situation produces a certain result ('familiarity breeds contempt'). It relates to lineage, reproduction, and biological origins."
broadcast,broadcast,broadcast,Intermediate,Communication,"To 'broadcast' means to transmit a programme or some information by radio or television. Originally, it meant to scatter seeds over a wide area. It implies disseminating information to a large, undefined audience. It is a key verb in media and technology. Often misused with '-ed', the irregular form remains 'broadcast'."
build,built,built,Beginner,Action & Impact,"To 'build' is to construct something by putting parts or material together over a period of time. It implies structure, planning, and creation. It applies to physical buildings, software, or abstract concepts like trust or a career. It is the opposite of destroy and suggests progress."
burn,burnt/burned,burnt/burned,Beginner,Action & Impact,"To 'burn' is to be on fire or to destroy something by fire. It produces heat, light, and irreversible damage. It can also refer to a physical sensation of heat or energy consumption (burning calories). Both 'burnt' and 'burned' are accepted, with 'burnt' often acting as the adjective."
burst,burst,burst,Intermediate,Action & Impact,"To 'burst' is to break open or apart suddenly and violently, especially as a result of an impact or internal pressure. It implies a sudden release of energy or emotion (burst into tears). It is a dynamic verb that describes an abrupt change of state from contained to released."
bust,bust,bust,Intermediate,Action & Impact,"To 'bust' is an informal verb meaning to break, smash, or arrest. It implies a forceful or clumsy action. 'Busted' is often used as an adjective for broken things. It can also mean to catch someone doing something wrong. It is common in slang and casual conversation."
cast,cast,cast,Expert,Action & Impact,"To 'cast' is to throw something forcefully in a specified direction. It is used in fishing (casting a line), magic (casting a spell), or theatre (casting actors). It implies projection and selection. It is a versatile verb found in many idioms ('cast a shadow', 'cast a vote')."
catch,caught,caught,Beginner,Action & Impact,"To 'catch' means to intercept and hold something which has been thrown, propelled, or dropped. It implies speed and reaction. It can also mean to contract an illness (catch a cold) or to understand something. It is the opposite of 'throw' and suggests successful capture."
cling,clung,clung,Intermediate,Movement,"To 'cling' is to hold on tightly to something or someone. It implies desperation, affection, or physical adhesion (static cling). It can be used physically (clinging to a rock) or emotionally (clinging to the past). It suggests a refusal to let go."
clothe,clad/clothed,clad/clothed,Expert,Daily Life,"To 'clothe' is to provide with clothes or to dress. 'Clad' is the archaic or literary past form, often used as an adjective (iron-clad). It implies covering or protection. It is used in formal descriptions of appearance or provision of necessities."
cost,cost,cost,Beginner,Daily Life,"To 'cost' is to require the payment of a specified sum of money before it can be acquired or done. It implies value, sacrifice, or consequence. It can be used metaphorically ('it cost him his job'). It is a stative verb essential for transactions and decision making."
creep,crept,crept,Intermediate,Movement,"To 'creep' is to move slowly and carefully in order to avoid being heard or noticed. It implies stealth, fear, or slowness. It can also refer to the growth of plants or a feeling of unease ('it gives me the creeps'). It describes movement close to the ground."
cut,cut,cut,Beginner,Action & Impact,"To 'cut' is to make an opening, incision, or wound in something with a sharp-edged tool or object. It implies separation, reduction, or editing. It is a sharp, decisive action. It forms numerous phrasal verbs like 'cut off', 'cut down', and 'cut in'. It is one of the most common verbs."
deal,dealt,dealt,Intermediate,Communication,"To 'deal' means to distribute cards, or to take action with respect to a thing or person. It implies handling a situation, trading, or managing a problem ('deal with it'). It is central to games, business, and conflict resolution. It suggests interaction and transaction."
dig,dug,dug,Beginner,Action & Impact,"To 'dig' is to break up and move earth with a tool or machine, or with hands. It implies searching, excavation, or hard work. Metaphorically, it can mean looking for information ('digging up the truth'). It connects to the ground and hidden things."
dive,dove/dived,dove/dived,Intermediate,Movement,"To 'dive' is to plunge head first into water. It implies a sudden descent or immersion. It can also mean to move quickly towards something or to drop in value. 'Dove' is common in American English, while 'dived' is standard in British English. It suggests exploring depths."
draw,drew,drawn,Beginner,Action & Impact,"To 'draw' is to produce a picture or diagram by making lines and marks. It also means to pull or drag something (drawing a curtain, drawing a weapon). It implies creativity or physical tension. It is a versatile verb combining art and physical movement."
dream,dreamt/dreamed,dreamt/dreamed,Beginner,Communication,"To 'dream' is to experience a series of images, events, and feelings in the mind during sleep. It also means to aspire or hope for something. 'Dreamt' is the traditional irregular form, popular in British English. It connects to the subconscious and ambition."
drink,drank,drunk,Beginner,Daily Life,"To 'drink' is to take liquid into the mouth and swallow. It is essential for survival. It can also refer specifically to consuming alcohol. The distinction between 'drank' (past) and 'drunk' (participle) is a common grammar point. It is a primary biological function."
drive,drove,driven,Beginner,Movement,"To 'drive' is to operate and control the direction and speed of a motor vehicle. It implies force, motivation, and travel. It can be used metaphorically to mean compelling someone to do something ('drive someone crazy'). It suggests forward momentum and control."
dwell,dwelt/dwelled,dwelt/dwelled,Expert,Daily Life,"To 'dwell' means to live in or at a specified place. Historically common, it is now literary or formal. It also means to think, speak, or write at length about something ('dwell on the past'). It implies permanence or obsession."
fall,fell,fallen,Beginner,Movement,"To 'fall' is to move downwards quickly and without control, from a higher to a lower level. It implies gravity, accident, or loss of status. It forms many idioms like 'fall in love', 'fall apart'. It is a key verb for describing unintended movement."
feed,fed,fed,Beginner,Daily Life,"To 'feed' is to give food to a person or animal. It implies care, provision, and nourishment. It can also mean to supply a machine with material. It represents the act of sustaining life or function. It creates a relationship between provider and receiver."
fight,fought,fought,Beginner,Action & Impact,"To 'fight' is to take part in a violent struggle involving the exchange of physical blows or the use of weapons. It implies conflict, resistance, and defense. It can be physical or metaphorical (fighting for rights). It suggests an active struggle against opposition."
fit,fit/fitted,fit/fitted,Intermediate,Daily Life,"To 'fit' is to be of the right shape and size for. It implies suitability, comfort, and correctness. In American English, 'fit' is often irregular for the past tense; British English tends to use 'fitted'. It is essential for clothing and mechanics."
flee,fled,fled,Intermediate,Movement,"To 'flee' is to run away from a place or situation of danger. It implies urgency, fear, and escape. It is a more dramatic synonym for 'run away'. It suggests a desperate need for safety. It is often used in news regarding refugees or crime."
